	EN	UK	RU	ES	IT	DE	KO	NL	FR	PT	ZH_TW	ZH	PL	CS
la_reopen_repos	Re-open repositories on startup	Відкривати репозиторії при запуску	Открывать репозитории при запуске	Reabrir repositorios al iniciar	Riapri repository all'avvio	Repositories beim Start erneut öffnen	시작 시 저장소 다시 열기	Repositories heropenen bij opstarten	Rouvrir les dépôts au démarrage	Reabrir repositórios na inicialização	啟動時重新開啟儲存庫	启动时重新打开仓库	Otwórz ponownie repozytoria przy uruchomieniu	Znovu otevřít repozitáře při spuštění
la_keep_backups	Keep backup files	Зберігати резервні копії	Сохранять резервные копии	Mantener archivos de respaldo	Mantieni file di backup	Sicherungsdateien behalten	백업 파일 유지	Back-upbestanden bewaren	Conserver les sauvegardes	Manter arquivos de backup	保留備份檔案	保留备份文件	Zachowaj pliki kopii zapasowych	Uchovávat zálohy
la_check_remotes	Check remotes every	Перевіряти віддалені репо кожні	Проверять удалённые репо каждые	Verificar remotos cada	Controlla remoti ogni	Remotes prüfen alle	원격 저장소 확인 간격	Controleer remotes elke	Vérifier les distants toutes les	Verificar remotos a cada	檢查遠端每隔	检查远程每隔	Sprawdzaj zdalne co	Kontrolovat vzdálené každých
la_minutes	minutes	хвилин	минут	minutos	minuti	Minuten	분	minuten	minutes	minutos	分鐘	分钟	minut	minut
la_global_ignore	Global Ignore	Глобальне ігнорування	Глобальное игнорирование	Ignorar global	Ignora globale	Globales Ignorieren	전역 무시	Globaal negeren	Ignorer globalement	Ignorar global	全域忽略	全局忽略	Globalne ignorowanie	Globální ignorování
la_push_settings	Push Settings	Налаштування відправки	Настройки отправки	Configuración de envío	Impostazioni push	Push-Einstellungen	푸시 설정	Push-instellingen	Paramètres de push	Configurações de push	推送設定	推送设置	Ustawienia wypychania	Nastavení odesílání
la_push_policy	Push policy	Політика відправки	Политика отправки	Política de envío	Politica push	Push-Richtlinie	푸시 정책	Push-beleid	Politique de push	Política de push	推送政策	推送策略	Polityka wypychania	Politika odesílání
la_options	Options	Опції	Опции	Opciones	Opzioni	Optionen	옵션	Opties	Options	Opções	選項	选项	Opcje	Možnosti
la_use_rebase	Use rebase instead of merge for pull	Використовувати rebase замість merge при pull	Использовать rebase вместо merge при pull	Usar rebase en lugar de merge para pull	Usa rebase invece di merge per pull	Rebase statt Merge für Pull verwenden	풀에 병합 대신 리베이스 사용	Gebruik rebase in plaats van merge voor pull	Utiliser rebase au lieu de merge pour pull	Usar rebase em vez de merge para pull	Pull 時使用 rebase 而非 merge	拉取时使用 rebase 而非 merge	Użyj rebase zamiast merge do pull	Použít rebase místo merge pro pull
la_push_tags	Push all tags with commits	Відправляти всі теги з комітами	Отправлять все теги с коммитами	Enviar todas las etiquetas con commits	Push tutti i tag con i commit	Alle Tags mit Commits pushen	커밋과 함께 모든 태그 푸시	Push alle tags met commits	Pousser tous les tags avec les commits	Enviar todas as tags com commits	提交時推送所有標籤	提交时推送所有标签	Wypchnij wszystkie tagi z commitami	Odeslat všechny tagy s commity
la_allow_force	Allow force push (with --force-with-lease)	Дозволити force push (з --force-with-lease)	Разрешить force push (с --force-with-lease)	Permitir force push (con --force-with-lease)	Consenti force push (con --force-with-lease)	Force Push erlauben (mit --force-with-lease)	강제 푸시 허용 (--force-with-lease)	Sta force push toe (met --force-with-lease)	Autoriser force push (avec --force-with-lease)	Permitir force push (com --force-with-lease)	允許強制推送 (使用 --force-with-lease)	允许强制推送 (使用 --force-with-lease)	Zezwól na force push (z --force-with-lease)	Povolit force push (s --force-with-lease)
la_git_executable	Git Executable	Виконуваний файл Git	Исполняемый файл Git	Ejecutable de Git	Eseguibile Git	Git-Programm	Git 실행 파일	Git-programma	Exécutable Git	Executável Git	Git 執行檔	Git 可执行文件	Plik wykonywalny Git	Spustitelný soubor Git
la_history	History	Історія	История	Historial	Cronologia	Verlauf	기록	Geschiedenis	Historique	Histórico	歷史	历史	Historia	Historie
la_log_rows	Log rows to fetch	Рядків логу для завантаження	Строк лога для загрузки	Filas de registro a obtener	Righe di log da recuperare	Log-Zeilen zum Abrufen	가져올 로그 행 수	Logregels om op te halen	Lignes de journal à récupérer	Linhas de log a buscar	要擷取的日誌行數	要获取的日志行数	Wierszy logu do pobrania	Řádků logu k načtení
la_show_ahead_behind	Show ahead/behind counts	Показувати лічильники попереди/позаду	Показывать счётчики впереди/позади	Mostrar conteos adelante/atrás	Mostra contatori avanti/indietro	Voraus/Zurück-Zähler anzeigen	앞/뒤 개수 표시	Toon voor/achter tellers	Afficher les compteurs avance/retard	Mostrar contagens à frente/atrás	顯示領先/落後計數	显示领先/落后计数	Pokaż liczniki przed/za	Zobrazit počty vpřed/vzad
la_commit_message	Commit Message	Повідомлення коміту	Сообщение коммита	Mensaje de commit	Messaggio di commit	Commit-Nachricht	커밋 메시지	Commit-bericht	Message de commit	Mensagem de commit	提交訊息	提交消息	Wiadomość commita	Zpráva commitu
la_show_column_guide	Show column guide at	Показати напрямну стовпця на	Показать направляющую столбца на	Mostrar guía de columna en	Mostra guida colonna a	Spaltenführung anzeigen bei	열 가이드 표시 위치	Toon kolomgids bij	Afficher le guide de colonne à	Mostrar guia de coluna em	顯示欄位指南於	显示列指南于	Pokaż linię kolumny na	Zobrazit vodítko sloupce na
la_characters	characters	символів	символов	caracteres	caratteri	Zeichen	문자	tekens	caractères	caracteres	字元	字符	znaków	znaků
la_fixed_width_font	Use fixed-width font for commit messages	Використовувати моноширинний шрифт для повідомлень	Использовать моноширинный шрифт для сообщений	Usar fuente de ancho fijo para mensajes	Usa font a larghezza fissa per i messaggi	Festbreitenschrift für Commit-Nachrichten verwenden	커밋 메시지에 고정폭 글꼴 사용	Gebruik lettertype met vaste breedte voor berichten	Utiliser police à largeur fixe pour les messages	Usar fonte de largura fixa para mensagens	提交訊息使用等寬字型	提交消息使用等宽字体	Użyj czcionki o stałej szerokości dla wiadomości	Použít neproporcionální písmo pro zprávy
la_after_commit	After Commit	Після коміту	После коммита	Después del commit	Dopo il commit	Nach dem Commit	커밋 후	Na commit	Après le commit	Após o commit	提交後	提交后	Po commicie	Po commitu
la_push_after_commit	Push immediately after commit	Відправити одразу після коміту	Отправить сразу после коммита	Enviar inmediatamente después del commit	Push immediato dopo il commit	Sofort nach Commit pushen	커밋 후 즉시 푸시	Direct pushen na commit	Pousser immédiatement après le commit	Enviar imediatamente após o commit	提交後立即推送	提交后立即推送	Wypchnij natychmiast po commicie	Odeslat ihned po commitu
la_light	Light	Світла	Светлая	Claro	Chiaro	Hell	라이트	Licht	Clair	Claro	淺色	浅色	Jasny	Světlý
la_dark	Dark	Темна	Тёмная	Oscuro	Scuro	Dunkel	다크	Donker	Sombre	Escuro	深色	深色	Ciemny	Tmavý
la_custom	Custom	Власна	Пользовательская	Personalizado	Personalizzato	Benutzerdefiniert	사용자 정의	Aangepast	Personnalisé	Personalizado	自訂	自定义	Niestandardowy	Vlastní
la_custom_colors	Custom Colors	Власні кольори	Пользовательские цвета	Colores personalizados	Colori personalizzati	Benutzerdefinierte Farben	사용자 정의 색상	Aangepaste kleuren	Couleurs personnalisées	Cores personalizadas	自訂顏色	自定义颜色	Niestandardowe kolory	Vlastní barvy
la_background	Background	Фон	Фон	Fondo	Sfondo	Hintergrund	배경	Achtergrond	Arrière-plan	Fundo	背景	背景	Tło	Pozadí
la_foreground	Foreground	Передній план	Передний план	Primer plano	Primo piano	Vordergrund	전경	Voorgrond	Premier plan	Primeiro plano	前景	前景	Pierwszy plan	Popředí
la_selection	Selection	Виділення	Выделение	Selección	Selezione	Auswahl	선택	Selectie	Sélection	Seleção	選取	选择	Zaznaczenie	Výběr
la_diff_added	Diff Added	Додано в diff	Добавлено в diff	Diff añadido	Diff aggiunto	Diff Hinzugefügt	Diff 추가	Diff toegevoegd	Diff ajouté	Diff adicionado	Diff 已新增	Diff 已添加	Diff dodane	Diff přidáno
la_diff_deleted	Diff Deleted	Видалено в diff	Удалено в diff	Diff eliminado	Diff eliminato	Diff Gelöscht	Diff 삭제	Diff verwijderd	Diff supprimé	Diff removido	Diff 已刪除	Diff 已删除	Diff usunięte	Diff smazáno
la_fonts	Fonts	Шрифти	Шрифты	Fuentes	Font	Schriftarten	글꼴	Lettertypen	Polices	Fontes	字型	字体	Czcionki	Písma
la_diff_font	Diff font	Шрифт diff	Шрифт diff	Fuente de diff	Font diff	Diff-Schriftart	Diff 글꼴	Diff-lettertype	Police de diff	Fonte de diff	Diff 字型	Diff 字体	Czcionka diff	Písmo diff
la_ui_font	UI font	Шрифт інтерфейсу	Шрифт интерфейса	Fuente de UI	Font UI	UI-Schriftart	UI 글꼴	UI-lettertype	Police UI	Fonte da UI	UI 字型	UI 字体	Czcionka UI	Písmo UI
la_ssh	SSH	SSH	SSH	SSH	SSH	SSH	SSH	SSH	SSH	SSH	SSH	SSH	SSH	SSH
la_ssh_key	SSH Key	Ключ SSH	Ключ SSH	Clave SSH	Chiave SSH	SSH-Schlüssel	SSH 키	SSH-sleutel	Clé SSH	Chave SSH	SSH 金鑰	SSH 密钥	Klucz SSH	SSH klíč
la_ssh_client	SSH Client	Клієнт SSH	Клиент SSH	Cliente SSH	Client SSH	SSH-Client	SSH 클라이언트	SSH-client	Client SSH	Cliente SSH	SSH 用戶端	SSH 客户端	Klient SSH	SSH klient
la_auto_start_ssh	Auto-start SSH agent	Автозапуск SSH агента	Автозапуск SSH агента	Iniciar automáticamente agente SSH	Avvia automaticamente agente SSH	SSH-Agent automatisch starten	SSH 에이전트 자동 시작	SSH-agent automatisch starten	Démarrer automatiquement l'agent SSH	Iniciar agente SSH automaticamente	自動啟動 SSH 代理	自动启动 SSH 代理	Autostart agenta SSH	Automaticky spustit SSH agenta
la_https_credentials	HTTPS Credentials	Облікові дані HTTPS	Учётные данные HTTPS	Credenciales HTTPS	Credenziali HTTPS	HTTPS-Anmeldedaten	HTTPS 자격 증명	HTTPS-referenties	Identifiants HTTPS	Credenciais HTTPS	HTTPS 認證	HTTPS 凭据	Poświadczenia HTTPS	HTTPS přihlašovací údaje
la_use_cred_manager	Use Git Credential Manager	Використовувати менеджер облікових даних Git	Использовать менеджер учётных данных Git	Usar administrador de credenciales de Git	Usa Git Credential Manager	Git Credential Manager verwenden	Git 자격 증명 관리자 사용	Gebruik Git Credential Manager	Utiliser Git Credential Manager	Usar Git Credential Manager	使用 Git 認證管理員	使用 Git 凭据管理器	Użyj Git Credential Manager	Použít Git Credential Manager
la_default_username	Default username	Типове ім'я користувача	Имя пользователя по умолчанию	Nombre de usuario predeterminado	Nome utente predefinito	Standard-Benutzername	기본 사용자 이름	Standaard gebruikersnaam	Nom d'utilisateur par défaut	Nome de usuário padrão	預設使用者名稱	默认用户名	Domyślna nazwa użytkownika	Výchozí uživatelské jméno
la_default_password	Default password/token	Типовий пароль/токен	Пароль/токен по умолчанию	Contraseña/token predeterminado	Password/token predefinito	Standard-Passwort/Token	기본 비밀번호/토큰	Standaard wachtwoord/token	Mot de passe/token par défaut	Senha/token padrão	預設密碼/權杖	默认密码/令牌	Domyślne hasło/token	Výchozí heslo/token
la_open_repo	Open Repository...	Відкрити репозиторій...	Открыть репозиторий...	Abrir repositorio...	Apri repository...	Repository öffnen...	저장소 열기...	Repository openen...	Ouvrir le dépôt...	Abrir repositório...	開啟儲存庫...	打开仓库...	Otwórz repozytorium...	Otevřít repozitář...
la_close_repo	Close Repository	Закрити репозиторій	Закрыть репозиторий	Cerrar repositorio	Chiudi repository	Repository schließen	저장소 닫기	Repository sluiten	Fermer le dépôt	Fechar repositório	關閉儲存庫	关闭仓库	Zamknij repozytorium	Zavřít repozitář
la_exit	Exit	Вийти	Выход	Salir	Esci	Beenden	종료	Afsluiten	Quitter	Sair	結束	退出	Wyjście	Ukončit
la_edit	Edit	Редагувати	Редактировать	Editar	Modifica	Bearbeiten	편집	Bewerken	Éditer	Editar	編輯	编辑	Edytuj	Upravit
la_view	View	Вигляд	Вид	Ver	Vista	Ansicht	보기	Weergave	Affichage	Exibir	檢視	视图	Widok	Zobrazit
la_file_status	File Status	Стан файлів	Состояние файлов	Estado de archivos	Stato file	Dateistatus	파일 상태	Bestandsstatus	État des fichiers	Status dos arquivos	檔案狀態	文件状态	Status plików	Stav souborů
la_repository	Repository	Репозиторій	Репозиторий	Repositorio	Repository	Repository	저장소	Repository	Dépôt	Repositório	儲存庫	仓库	Repozytorium	Repozitář
la_actions	Actions	Дії	Действия	Acciones	Azioni	Aktionen	작업	Acties	Actions	Ações	動作	操作	Akcje	Akce
la_stage_selected	Stage Selected	Підготувати вибране	Подготовить выбранное	Preparar seleccionados	Stage selezionati	Ausgewählte stagen	선택 항목 스테이지	Stage geselecteerde	Indexer sélectionnés	Preparar selecionados	暫存選取項目	暂存选中	Przygotuj wybrane	Připravit vybrané
la_unstage_selected	Unstage Selected	Скасувати підготовку вибраного	Отменить подготовку выбранного	Deshacer preparación de seleccionados	Unstage selezionati	Ausgewählte unstagen	선택 항목 언스테이지	Unstage geselecteerde	Désindexer sélectionnés	Desfazer preparação dos selecionados	取消暫存選取項目	取消暂存选中	Cofnij przygotowanie wybranych	Zrušit přípravu vybraných
la_discard_changes	Discard Changes	Скасувати зміни	Отменить изменения	Descartar cambios	Annulla modifiche	Änderungen verwerfen	변경 사항 취소	Wijzigingen negeren	Annuler les modifications	Descartar alterações	捨棄變更	放弃更改	Odrzuć zmiany	Zahodit změny
la_help	Help	Допомога	Справка	Ayuda	Aiuto	Hilfe	도움말	Help	Aide	Ajuda	說明	帮助	Pomoc	Nápověda
la_about	About	Про програму	О программе	Acerca de	Informazioni	Über	정보	Over	À propos	Sobre	關於	关于	O programie	O aplikaci
la_workspace	WORKSPACE	РОБОЧИЙ ПРОСТІР	РАБОЧЕЕ ПРОСТРАНСТВО	ESPACIO DE TRABAJO	WORKSPACE	ARBEITSBEREICH	워크스페이스	WERKRUIMTE	ESPACE DE TRAVAIL	ÁREA DE TRABALHO	工作區	工作区	OBSZAR ROBOCZY	PRACOVNÍ PROSTOR
la_branches	BRANCHES	ГІЛКИ	ВЕТКИ	RAMAS	RAMI	BRANCHES	브랜치	BRANCHES	BRANCHES	BRANCHES	分支	分支	GAŁĘZIE	VĚTVE
la_search	Search	Пошук	Поиск	Buscar	Cerca	Suchen	검색	Zoeken	Rechercher	Pesquisar	搜尋	搜索	Szukaj	Hledat
la_unstaged_files	Unstaged Files	Непідготовлені файли	Неподготовленные файлы	Archivos sin preparar	File non staged	Nicht gestagte Dateien	스테이지되지 않은 파일	Niet-gestagede bestanden	Fichiers non indexés	Arquivos não preparados	未暫存的檔案	未暂存的文件	Nieetapowane pliki	Nepřipravené soubory
la_staged_files	Staged Files	Підготовлені файли	Подготовленные файлы	Archivos preparados	File staged	Gestagte Dateien	스테이지된 파일	Gestagede bestanden	Fichiers indexés	Arquivos preparados	已暫存的檔案	已暂存的文件	Etapowane pliki	Připravené soubory
la_stage_all	Stage All	Підготувати все	Подготовить всё	Preparar todo	Stage tutti	Alle stagen	모두 스테이지	Stage alle	Indexer tout	Preparar tudo	全部暫存	全部暂存	Przygotuj wszystko	Připravit vše
la_unstage_all	Unstage All	Скасувати підготовку всього	Отменить подготовку всего	Deshacer preparación de todo	Unstage tutti	Alle unstagen	모두 언스테이지	Unstage alle	Désindexer tout	Desfazer preparação de tudo	全部取消暫存	全部取消暂存	Cofnij przygotowanie wszystkiego	Zrušit přípravu všeho
la_diff	Diff	Diff	Diff	Diff	Diff	Diff	Diff	Diff	Diff	Diff	差異	差异	Diff	Diff
la_commit_details	Commit Details	Деталі коміту	Детали коммита	Detalles del commit	Dettagli commit	Commit-Details	커밋 세부 정보	Commit-details	Détails du commit	Detalhes do commit	提交詳情	提交详情	Szczegóły commita	Detaily commitu
la_changes	Changes	Зміни	Изменения	Cambios	Modifiche	Änderungen	변경 사항	Wijzigingen	Modifications	Alterações	變更	更改	Zmiany	Změny
la_no_repo_open	No repository open	Репозиторій не відкрито	Репозиторий не открыт	No hay repositorio abierto	Nessun repository aperto	Kein Repository geöffnet	열린 저장소 없음	Geen repository geopend	Aucun dépôt ouvert	Nenhum repositório aberto	未開啟儲存庫	未打开仓库	Brak otwartego repozytorium	Žádný otevřený repozitář
la_committed_success	Committed successfully	Успішно закомічено	Успешно закоммичено	Commit exitoso	Commit eseguito con successo	Erfolgreich committed	커밋 성공	Succesvol gecommit	Commit réussi	Commit realizado com sucesso	提交成功	提交成功	Zatwierdzono pomyślnie	Úspěšně odesláno
la_fetch_complete	Fetch complete	Завантаження завершено	Загрузка завершена	Fetch completado	Fetch completato	Fetch abgeschlossen	가져오기 완료	Fetch voltooid	Récupération terminée	Fetch concluído	擷取完成	获取完成	Pobieranie zakończone	Načítání dokončeno
la_pull_complete	Pull complete	Отримання завершено	Получение завершено	Pull completado	Pull completato	Pull abgeschlossen	풀 완료	Pull voltooid	Pull terminé	Pull concluído	拉取完成	拉取完成	Pobieranie zakończone	Stahování dokončeno
la_push_complete	Push complete	Відправлення завершено	Отправка завершена	Push completado	Push completato	Push abgeschlossen	푸시 완료	Push voltooid	Push terminé	Push concluído	推送完成	推送完成	Wypychanie zakończone	Odesílání dokončeno
la_cannot_commit	Cannot Commit	Неможливо закомітити	Невозможно закоммитить	No se puede hacer commit	Impossibile fare commit	Commit nicht möglich	커밋할 수 없음	Kan niet committen	Impossible de faire un commit	Não é possível fazer commit	無法提交	无法提交	Nie można zatwierdzić	Nelze odeslat
la_enter_commit_msg	Please enter a commit message.	Будь ласка, введіть повідомлення коміту.	Пожалуйста, введите сообщение коммита.	Por favor, ingrese un mensaje de commit.	Inserisci un messaggio di commit.	Bitte geben Sie eine Commit-Nachricht ein.	커밋 메시지를 입력하세요.	Voer een commit-bericht in.	Veuillez entrer un message de commit.	Por favor, digite uma mensagem de commit.	請輸入提交訊息。	请输入提交消息。	Proszę wpisać wiadomość commita.	Zadejte prosím zprávu commitu.
la_no_staged_files	No files are staged for commit.	Немає файлів для коміту.	Нет файлов для коммита.	No hay archivos preparados para commit.	Nessun file è in stage per il commit.	Keine Dateien zum Committen gestaged.	커밋할 스테이지된 파일이 없습니다.	Geen bestanden gestaged voor commit.	Aucun fichier indexé pour le commit.	Nenhum arquivo preparado para commit.	沒有檔案已暫存以供提交。	没有文件已暂存以供提交。	Brak plików przygotowanych do commita.	Žádné soubory nejsou připraveny k odeslání.
la_select_repo_folder	Select Repository Folder	Виберіть папку репозиторію	Выберите папку репозитория	Seleccionar carpeta del repositorio	Seleziona cartella repository	Repository-Ordner auswählen	저장소 폴더 선택	Selecteer repository-map	Sélectionner le dossier du dépôt	Selecionar pasta do repositório	選擇儲存庫資料夾	选择仓库文件夹	Wybierz folder repozytorium	Vyberte složku repozitáře
la_create_branch	Create New Branch	Створити нову гілку	Создать новую ветку	Crear nueva rama	Crea nuovo ramo	Neuen Branch erstellen	새 브랜치 만들기	Nieuwe branch maken	Créer une nouvelle branche	Criar novo branch	建立新分支	创建新分支	Utwórz nową gałąź	Vytvořit novou větev
la_branch_name	Branch name	Назва гілки	Название ветки	Nombre de la rama	Nome del ramo	Branch-Name	브랜치 이름	Branch-naam	Nom de la branche	Nome do branch	分支名稱	分支名称	Nazwa gałęzi	Název větve
la_create	Create	Створити	Создать	Crear	Crea	Erstellen	만들기	Maken	Créer	Criar	建立	创建	Utwórz	Vytvořit
la_git_not_found	Git Not Found	Git не знайдено	Git не найден	Git no encontrado	Git non trovato	Git nicht gefunden	Git를 찾을 수 없음	Git niet gevonden	Git non trouvé	Git não encontrado	找不到 Git	未找到 Git	Nie znaleziono Git	Git nenalezen
la_git_not_in_path	Git executable was not found in your PATH.	Виконуваний файл Git не знайдено в PATH.	Исполняемый файл Git не найден в PATH.	El ejecutable de Git no se encontró en su PATH.	L'eseguibile Git non è stato trovato nel PATH.	Git-Programm wurde nicht im PATH gefunden.	PATH에서 Git 실행 파일을 찾을 수 없습니다.	Git-programma niet gevonden in uw PATH.	L'exécutable Git n'a pas été trouvé dans votre PATH.	O executável Git não foi encontrado no seu PATH.	在您的 PATH 中找不到 Git 執行檔。	在您的 PATH 中未找到 Git 可执行文件。	Nie znaleziono pliku wykonywalnego Git w PATH.	Spustitelný soubor Git nebyl nalezen ve vašem PATH.
la_install_git	Please install Git or specify the path to git.exe:	Будь ласка, встановіть Git або вкажіть шлях до git.exe:	Пожалуйста, установите Git или укажите путь к git.exe:	Por favor, instale Git o especifique la ruta a git.exe:	Installa Git o specifica il percorso di git.exe:	Bitte installieren Sie Git oder geben Sie den Pfad zu git.exe an:	Git를 설치하거나 git.exe 경로를 지정하세요:	Installeer Git of geef het pad naar git.exe op:	Veuillez installer Git ou spécifier le chemin vers git.exe:	Instale o Git ou especifique o caminho para git.exe:	請安裝 Git 或指定 git.exe 的路徑：	请安装 Git 或指定 git.exe 的路径：	Zainstaluj Git lub podaj ścieżkę do git.exe:	Nainstalujte Git nebo zadejte cestu k git.exe:
la_browse	Browse...	Огляд...	Обзор...	Examinar...	Sfoglia...	Durchsuchen...	찾아보기...	Bladeren...	Parcourir...	Procurar...	瀏覽...	浏览...	Przeglądaj...	Procházet...
